# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	23840
#@/user_id	c10b546d-9061-4101-80d7-81e8dd66747f
a 	啊	c=99 d=5.4004 t=23840
zai lai kan 	再来看	c=1 d=6.98151e-09 t=23840
zai lan 	载澜	c=1 d=3.24818e-07 t=23840
zai na 	在哪	c=0 d=5.74054e-31 t=23840
zai na cha 	在哪查	c=1 d=5.76931e-30 t=23840
zai na li 	在哪里	c=3 d=0.0300654 t=23840
zai nan 	灾难	c=1 d=3.39769e-07 t=23840
zai qu 	再去	c=1 d=0.000184106 t=23840
zai shang 	在上	c=2 d=1.74666e-15 t=23840
zai shang mian 	在上面	c=1 d=0.319819 t=23840
zai she ji 	在设计	c=1 d=5.55933e-35 t=23840
zai shi 	再试	c=3 d=1.84893e-18 t=23840
zai shua 	在刷	c=1 d=0.412714 t=23840
zai shuo 	再说	c=2 d=3.03116e-17 t=23840
zai ta 	在她	c=1 d=0.946485 t=23840
zai wen 	在问	c=1 d=0.0113334 t=23840
zai xie 	在写	c=1 d=1.7906e-30 t=23840
zai xue 	在学	c=0 d=6.28008e-29 t=23840
zai yi ci ci 	在一次次	c=1 d=0.000257369 t=23840
zai yi fang mian 	在一方面	c=1 d=0.458406 t=23840
zai yi qi 	在一起	c=0 d=0.0444858 t=23840
zai yong 	在用	c=1 d=3.81502e-17 t=23840
zai yu 	在于	c=2 d=0.110803 t=23840
zai zhe 	在这	c=1 d=0.15259 t=23840
zai zhe ge 	在这个	c=1 d=1.64162e-08 t=23840
zai zhe yang 	在这样	c=1 d=1.19575e-15 t=23840
zan men 	咱们	c=2 d=1.03504e-29 t=23840
zan shi 	暂时	c=2 d=0.802519 t=23840
zan ting 	暂停	c=1 d=0.946485 t=23840
zao 	早	c=3 d=0.0977976 t=23840
zao ba 	早八	c=1 d=0.818731 t=23840
zao cheng 	造成	c=1 d=3.08012e-29 t=23840
zao dian 	早点	c=1 d=0.00822975 t=23840
zao dian qi lai 	早点起来	c=1 d=0.843665 t=23840
zao jia 	造假	c=0 d=0.0869358 t=23840
zao jia gao 	造假高	c=1 d=0.873716 t=23840
zao jiu 	早就	c=1 d=5.13104e-33 t=23840
zao nian 	早年	c=1 d=0.304221 t=23840
zao tang 	澡堂	c=0 d=1.39885e-38 t=23840
zao yin 	噪音	c=2 d=3.78674e-35 t=23840
ze 	则	c=8 d=0.000152674 t=23840
ze 	啧	c=4 d=0.442666 t=23840
ze 	泽	c=1 d=1 t=23747
ze ren 	责任	c=1 d=1.12165e-27 t=23840
ze ze 	啧啧	c=2 d=0.862409 t=23840
zen me 	怎么	c=62 d=2.93144 t=23840
zen me ban 	怎么办	c=16 d=0.713796 t=23840
zen me gai 	怎么改	c=1 d=7.78246e-22 t=23840
zen me hui 	怎么会	c=1 d=7.88773e-33 t=23840
zen me jiang 	怎么讲	c=1 d=6.11565e-10 t=23840
zen me ke neng 	怎么可能	c=1 d=0.937067 t=23840
zen me shuo 	怎么说	c=12 d=0.209088 t=23840
zen me xie 	怎么写	c=1 d=3.11213e-33 t=23840
zen me yang 	怎么样	c=5 d=0.273394 t=23840
zen me yong 	怎么用	c=5 d=0.174645 t=23840
zen me zen me 	怎么怎么	c=2 d=1.5724 t=23840
zeng 	增	c=0 d=0.0305746 t=23840
zeng jia 	增加	c=2 d=0.308819 t=23840
zeng jiu ai 	增旧爱	c=1 d=0.307279 t=23840
zhai chao ben 	摘抄本	c=1 d=0.315058 t=23840
zhan 	占	c=1 d=3.00305e-25 t=23840
zhan 	斩	c=1 d=0.00381048 t=23840
zhan 	栈	c=3 d=6.70301e-33 t=23840
zhan 	站	c=7 d=1.70262 t=23840
zhan 	詹	c=2 d=0.00155812 t=23840
zhan bi 	占比	c=2 d=0.887633 t=23840
zhan chang 	战场	c=1 d=6.04739e-25 t=23840
zhan dian 	站点	c=0 d=0.174745 t=23840
zhan dou 	战斗	c=2 d=1.29434 t=23840
zhan ji 	战绩	c=0 d=0.0778801 t=23840
zhan kai 	展开	c=0 d=9.92243e-28 t=23840
zhan kai xie 	展开写	c=1 d=9.97216e-27 t=23840
zhan shi 	展示	c=2 d=0.472367 t=23840
zhan shi 	战士	c=0 d=0.013332 t=23840
zhan tie 	粘贴	c=1 d=0.88692 t=23840
zhan wei fu 	占位符	c=1 d=4.06695e-34 t=23840
zhan wo 	展我	c=1 d=1.58926e-09 t=23840
zhan yong 	占用	c=1 d=1.22515e-36 t=23840
zhan zhan zi xi 	沾沾自喜	c=1 d=0.341298 t=23840
zhan zhang 	站长	c=3 d=0.730635 t=23840
zhan zhi zhen 	栈指针	c=1 d=9.39463e-31 t=23840
zhang 	张	c=2 d=1.60315e-13 t=23840
zhang guan 	掌管	c=1 d=0.774916 t=23840
zhang jie 	张杰	c=1 d=0.451581 t=23840
zhang jie 	章节	c=1 d=0.453845 t=23840
zhang wo 	掌握	c=1 d=1.59722e-09 t=23840
zhang zhe yang 	张这样	c=1 d=1.38018e-26 t=23840
zhao 	找	c=7 d=0.336216 t=23840
zhao 	着	c=0 d=0.0150318 t=23840
zhao ban 	照搬	c=1 d=2.13414e-36 t=23840
zhao bu dao 	找不到	c=8 d=0.946514 t=23840
zhao dao 	找到	c=5 d=0.955997 t=23840
zhao dian 	找点	c=1 d=0.00032882 t=23840
zhao ge 	找个	c=1 d=5.8263e-28 t=23840
zhao huan 	召唤	c=1 d=2.04134e-13 t=23840
zhao le 	找了	c=1 d=0.00275318 t=23840
zhao ni 	找你	c=1 d=5.34698e-18 t=23840
zhao wo 	找我	c=2 d=0.2334 t=23840
zhao zhao 	找找	c=1 d=5.89708e-23 t=23840
zhao zi long 	赵子龙	c=1 d=0.909373 t=23840
zhe 	着	c=10 d=1.5546 t=23840
zhe 	者	c=1 d=9.80866e-09 t=23840
zhe 	这	c=46 d=2.92448 t=23840
zhe ba 	这把	c=2 d=0.977914 t=23840
zhe ben 	这本	c=1 d=1.68346e-10 t=23840
zhe bian 	这边	c=4 d=7.9303e-08 t=23840
zhe bu 	这部	c=0 d=5.5815e-24 t=23840
zhe bu fu he 	这部符合	c=1 d=5.60948e-23 t=23840
zhe bu hui 	这不会	c=1 d=0.554327 t=23840
zhe bu jiu 	这不久	c=1 d=0.171187 t=23840
zhe bu shi 	这不是	c=2 d=0.45612 t=23840
zhe cai shi 	这才是	c=1 d=0.535261 t=23840
zhe ci 	这次	c=7 d=1.10879 t=23840
zhe dai ma 	这代码	c=2 d=1.41126e-18 t=23840
zhe dao di 	这到底	c=1 d=7.77584e-12 t=23840
zhe dian 	这点	c=1 d=5.40439e-26 t=23840
zhe die 	折叠	c=4 d=0.000216443 t=23840
zhe dong xi 	这东西	c=1 d=7.46562e-33 t=23840
zhe dou 	这都	c=1 d=2.8379e-36 t=23840
zhe dou shi 	这都是	c=1 d=2.8527e-09 t=23840
zhe duan 	这段	c=8 d=6.90969e-05 t=23840
zhe fang mian 	这方面	c=0 d=0.00288686 t=23840
zhe fen 	这份	c=1 d=2.64424e-28 t=23840
zhe ge 	这个	c=304 d=6.4032 t=23840
zhe ge hua 	这个画	c=1 d=1 t=23722
zhe ge ke 	这个课	c=1 d=3.59909e-08 t=23840
zhe ge san ge 	这个三个	c=1 d=0.0948935 t=23840
zhe ge suan le 	这个算了	c=1 d=0.00273944 t=23840
zhe gei 	这给	c=0 d=0.0869358 t=23840
zhe gei ni 	这给你	c=1 d=0.873716 t=23840
zhe gu tian 	鹧鸪天	c=1 d=6.4903e-33 t=23840
zhe hai 	这还	c=4 d=0.494109 t=23840
zhe hei 	这黑	c=1 d=2.96811e-05 t=23840
zhe hou mian 	这后面	c=1 d=2.48424e-29 t=23840
zhe hui 	这会	c=1 d=0.0461896 t=23840
zhe hui shi 	这回事	c=1 d=6.58726e-31 t=23840
zhe ji ge 	这几个	c=1 d=1.17451e-10 t=23840
zhe ji ge ren wu 	这几个人物	c=1 d=2.765e-24 t=23840
zhe ji nian 	这几年	c=1 d=9.44684e-08 t=23840
zhe ji tian 	这几天	c=3 d=4.2807e-13 t=23840
zhe jiu 	这就	c=3 d=0.0204453 t=23840
zhe jiu shi 	这就是	c=9 d=1.18105 t=23840
zhe ju hua 	这句话	c=4 d=0.301197 t=23840
zhe ken ding 	这肯定	c=1 d=2.04767e-20 t=23840
zhe li 	这里	c=51 d=1.98536 t=23840
zhe li mian 	这里面	c=4 d=0.917654 t=23840
zhe li na ge ge 	这李娜各个	c=2 d=0.00827637 t=23840
zhe li shi 	这里是	c=1 d=0.0422141 t=23840
zhe liang 	这两	c=1 d=1.24282e-28 t=23840
zhe liang ge 	这两个	c=4 d=0.29523 t=23840
zhe liang zhe 	这两者	c=2 d=1.99511e-10 t=23840
zhe me 	这么	c=19 d=1.79168 t=23840
zhe me ge 	这么个	c=1 d=0.179964 t=23840
zhe me zuo 	这么做	c=2 d=6.23262e-27 t=23840
zhe men 	这门	c=1 d=3.44072e-08 t=23840
zhe mo 	折磨	c=4 d=0.00156359 t=23840
zhe na pa 	这哪怕	c=1 d=6.62839e-16 t=23840
zhe ni 	着你	c=1 d=3.9116e-17 t=23840
zhe ni 	这你	c=1 d=3.95091e-17 t=23840
zhe san ci 	这三次	c=2 d=1.00934e-09 t=23840
zhe san wei 	这三位	c=1 d=2.64334e-24 t=23840
zhe san zhong 	这三种	c=1 d=1.3931e-18 t=23840
zhe shang mian 	这上面	c=1 d=0.0141931 t=23840
zhe shi 	这是	c=28 d=0.947353 t=23840
zhe shi bu shi 	这是不是	c=1 d=0.362402 t=23840
zhe shi fou 	这是否	c=2 d=0.946485 t=23840
zhe shuo ming 	这说明	c=1 d=3.80323e-10 t=23840
zhe tai 	这台	c=0 d=0.0831104 t=23840
zhe tai qi guai 	这台奇怪	c=1 d=0.83527 t=23840
zhe teng 	折腾	c=6 d=0.946681 t=23840
zhe teng xia 	折腾下	c=1 d=0.600496 t=23840
zhe tu 	这图	c=2 d=1.95289e-34 t=23840
zhe wei 	这位	c=2 d=0.865022 t=23840
zhe wo 	着我	c=3 d=0.971755 t=23840
zhe wo 	这我	c=1 d=0.506617 t=23840
zhe xia 	这下	c=1 d=2.71164e-30 t=23840
zhe xie 	这些	c=12 d=0.40131 t=23840
zhe xie lie 	这些列	c=1 d=1.30903e-21 t=23840
zhe xue 	哲学	c=1 d=2.32268e-32 t=23840
zhe xue qi 	这学期	c=2 d=0.0891366 t=23840
zhe yang 	这样	c=99 d=3.423 t=23840
zhe yang cong 	这样从	c=1 d=1.74372e-12 t=23840
zhe yang kan lai 	这样看来	c=1 d=1.06567e-13 t=23840
zhe yang zuo 	这样做	c=2 d=0.000114493 t=23840
zhe ye 	这也	c=2 d=4.49482e-05 t=23840
zhe ye shi 	这也是	c=4 d=0.173051 t=23840
zhe yi 	这一	c=1 d=1.7978e-18 t=23840
zhe yi ban 	这一般	c=1 d=0.980199 t=23840
zhe yi bu fen 	这一部分	c=2 d=0.650509 t=23840
zhe yi duan 	这一段	c=6 d=0.499074 t=23840
zhe yi ge 	这一个	c=1 d=6.50731e-05 t=23840
zhe yi hang 	这一行	c=1 d=6.06098e-22 t=23840
zhe yi ju 	这一句	c=1 d=7.82147e-22 t=23840
zhe yi lai 	这依赖	c=1 d=7.65461e-33 t=23840
zhe yi lei 	这一类	c=2 d=0.852144 t=23840
zhe yi tian 	这一天	c=0 d=7.4773e-23 t=23840
zhe yi tiao 	这一条	c=1 d=6.89303e-06 t=23840
zhe yi zhong 	这一种	c=2 d=0.737123 t=23840
zhe you 	这有	c=2 d=1.11133e-13 t=23840
zhe yuan lai 	着原来	c=1 d=4.20165e-35 t=23840
zhe zhang 	这张	c=2 d=0.900325 t=23840
zhe zhen 	这真	c=1 d=5.77146e-05 t=23840
zhe zhi shi 	这只是	c=4 d=0.913995 t=23840
zhe zhong 	这种	c=20 d=1.43698 t=23840
zhe zhong qing kuang 	这种情况	c=1 d=0.882497 t=23840
zhen 	真	c=12 d=1.42255 t=23840
zhen 	针	c=2 d=2.98194e-30 t=23840
zhen an 	镇安	c=1 d=7.92726e-33 t=23840
zhen bu ru 	真不如	c=1 d=4.2637e-31 t=23840
zhen cha 	真差	c=1 d=2.79469e-32 t=23840
zhen de 	真的	c=21 d=0.904374 t=23840
zhen duan 	诊断	c=1 d=0.000720907 t=23840
zhen dui 	针对	c=5 d=1.46406 t=23840
zhen dui ta 	针对她	c=1 d=0.839457 t=23840
zhen duo 	真多	c=2 d=5.03926e-25 t=23840
zhen gan jue 	真感觉	c=1 d=1.05669e-31 t=23840
zhen gei 	真给	c=0 d=2.35658e-27 t=23840
zhen gei wo 	真给我	c=1 d=2.36839e-26 t=23840
zhen hui 	真会	c=1 d=0.000265207 t=23840
zhen nai 	真乃	c=2 d=0.00114769 t=23840
zhen neng 	真能	c=1 d=1.51535e-37 t=23840
zhen sheng 	振声	c=1 d=0.985112 t=23840
zhen shi 	真实	c=1 d=9.19294e-11 t=23840
zhen shi 	真是	c=11 d=1.14253 t=23840
zhen shi jian gui 	真是见鬼	c=1 d=0.865022 t=23840
zhen you 	真有	c=1 d=2.85707e-27 t=23840
zhen you ren 	真有人	c=1 d=0.869358 t=23840
zhen zhe ge 	真这个	c=1 d=9.08261e-16 t=23840
zhen zheng 	真正	c=3 d=0.865022 t=23840
zheng 	帧	c=18 d=8.75352 t=23840
zheng 	整	c=1 d=0.985112 t=23840
zheng 	正	c=3 d=0.166127 t=23840
zheng 	郑	c=1 d=0.57695 t=23840
zheng chang 	正常	c=14 d=0.490074 t=23840
zheng chu 	整除	c=1 d=5.86367e-15 t=23840
zheng dian 	整点	c=2 d=0.17552 t=23840
zheng duan 	争端	c=1 d=3.69649e-28 t=23840
zheng duan 	整段	c=1 d=3.71501e-28 t=23840
zheng ge 	整个	c=7 d=0.752857 t=23840
zheng hao 	正好	c=1 d=1.22459e-26 t=23840
zheng he 	整合	c=1 d=4.86819e-32 t=23840
zheng jing 	正经	c=0 d=0.067032 t=23840
zheng jing hua ti 	正经话题	c=1 d=0.67368 t=23840
zheng jiu 	拯救	c=1 d=0.722527 t=23840
zheng le 	整了	c=2 d=5.74561e-11 t=23840
zheng lu 	正路	c=1 d=1.61828e-16 t=23840
zheng ming 	证明	c=2 d=0.108067 t=23840
zheng neng liang 	正能量	c=1 d=1.60076e-35 t=23840
zheng qu 	争取	c=2 d=0.499074 t=23840
zheng que 	正确	c=18 d=1.28445 t=23840
zheng shi 	正事	c=1 d=1.64839e-27 t=23840
zheng shi 	正是	c=3 d=0.606531 t=23840
zheng shi ban 	正式版	c=1 d=3.65212e-33 t=23840
zheng shu 	帧数	c=1 d=4.36643e-17 t=23840
zheng shu 	整数	c=3 d=1.94277e-19 t=23840
zheng zai 	正在	c=4 d=0.904837 t=23840
zheng ze 	正则	c=15 d=0.00121045 t=23840
zheng zha 	挣扎	c=1 d=0.621885 t=23840
zheng zheng 	整整	c=1 d=7.04426e-26 t=23840
zhi 	之	c=2 d=1.9361 t=23840
zhi 	值	c=29 d=0.698982 t=23840
zhi 	只	c=6 d=1.03716 t=23840
zhi 	志	c=1 d=0.460704 t=23840
zhi 	枝	c=2 d=1.61968 t=23840
zhi 	直	c=1 d=3.13593e-05 t=23840
zhi 	知	c=1 d=1.23385e-31 t=23840
zhi 	芝	c=1 d=0.856415 t=23840
zhi ba 	只把	c=1 d=4.98719e-22 t=23840
zhi bo 	直播	c=0 d=1.12436e-27 t=23840
zhi bu guo 	只不过	c=2 d=0.951229 t=23840
zhi chi 	支持	c=8 d=2.56375 t=23840
zhi chu 	指出	c=2 d=0.37362 t=23840
zhi da 	直达	c=1 d=5.2846e-27 t=23840
zhi dao 	指导	c=1 d=0.305746 t=23840
zhi dao 	直到	c=1 d=0.955997 t=23840
zhi dao 	知道	c=15 d=1.37534 t=23840
zhi dao ba 	知道把	c=1 d=0.0443785 t=23840
zhi de 	值得	c=2 d=3.16726e-10 t=23840
zhi de zhu yi 	值得注意	c=1 d=3.65286e-06 t=23840
zhi ding 	制定	c=1 d=2.91727e-37 t=23840
zhi ding 	指定	c=5 d=0.362239 t=23840
zhi ding 	置顶	c=2 d=0.265806 t=23840
zhi guan 	直观	c=2 d=5.6328e-13 t=23840
zhi hou 	之后	c=44 d=2.64095 t=23840
zhi hu 	知乎	c=6 d=3.99969 t=23840
zhi hui 	智慧	c=4 d=0.191172 t=23840
zhi ji 	之际	c=1 d=0.151829 t=23840
zhi ji de 	只记得	c=0 d=0.0474734 t=23840
zhi jian 	之间	c=10 d=1.65536 t=23840
zhi jiao 	执教	c=1 d=2.1129e-36 t=23840
zhi jie 	直接	c=79 d=2.89996 t=23840
zhi jie ba 	直接把	c=1 d=1.00498e-29 t=23840
zhi jie ei 	直接诶	c=1 d=0.163654 t=23840
zhi jie fa 	直接发	c=1 d=0.0293049 t=23840
zhi jie sou 	直接搜	c=1 d=0.951229 t=23840
zhi jue 	直觉	c=0 d=3.60706e-35 t=23840
zhi jue shang 	直觉上	c=1 d=3.62514e-34 t=23840
zhi kan 	只看	c=1 d=1.24926e-30 t=23840
zhi lei 	之类	c=4 d=3.71059e-14 t=23840
zhi liao 	治疗	c=1 d=0.843665 t=23840
zhi lie chu 	只列出	c=1 d=0.00683978 t=23840
zhi ming 	指明	c=1 d=1.17287e-23 t=23840
zhi nan 	指南	c=1 d=6.80798e-07 t=23840
zhi nei 	之内	c=2 d=0.0866743 t=23840
zhi neng 	只能	c=20 d=3.46124 t=23840
zhi neng 	智能	c=6 d=1.32488e-13 t=23840
zhi neng gou 	只能够	c=1 d=6.39149e-29 t=23840
zhi neng shuo 	只能说	c=2 d=0.271173 t=23840
zhi neng yong 	只能用	c=0 d=1.27363e-23 t=23840
zhi neng yong na ge 	只能用那个	c=1 d=1.28002e-22 t=23840
zhi niu er 	执牛耳	c=0 d=0.0268474 t=23840
zhi niu er gan shuo 	执牛耳敢说	c=1 d=0.26982 t=23840
zhi qian 	之前	c=16 d=0.825881 t=23840
zhi shang 	直伤	c=1 d=0.516851 t=23840
zhi shao 	至少	c=7 d=0.83527 t=23840
zhi shen 	之神	c=1 d=9.14709e-11 t=23840
zhi shi 	只是	c=17 d=1.10745 t=23840
zhi shi 	指示	c=1 d=0.798516 t=23840
zhi shi 	知识	c=4 d=1.16916 t=23840
zhi shu 	指数	c=2 d=8.34214e-32 t=23840
zhi suo yi 	之所以	c=1 d=1.07229e-27 t=23840
zhi wan 	只玩	c=1 d=0.158025 t=23840
zhi wo zhe 	知我者	c=1 d=2.50401e-34 t=23840
zhi xi huan 	只喜欢	c=1 d=0.366045 t=23840
zhi xiang 	只想	c=0 d=4.45313e-14 t=23840
zhi xiang 	指向	c=8 d=0.438085 t=23840
zhi xiang kan 	只想看	c=1 d=4.47545e-13 t=23840
zhi xin 	之心	c=1 d=0.540641 t=23840
zhi xing 	执行	c=6 d=0.537944 t=23840
zhi xu yao 	只需要	c=5 d=1.88924 t=23840
zhi yao 	只要	c=8 d=1.49314 t=23840
zhi yao you 	只要有	c=1 d=2.13712e-23 t=23840
zhi ye 	职业	c=2 d=8.75452e-24 t=23840
zhi you 	只有	c=19 d=0.939336 t=23840
zhi yu 	至于	c=0 d=3.70227e-18 t=23840
zhi zhen 	指针	c=12 d=0.148713 t=23840
zhong 	中	c=28 d=2.04428 t=23840
zhong 	种	c=3 d=1.67975 t=23840
zhong 	钟	c=3 d=0.882497 t=23840
zhong chang xiu xi 	中场休息	c=1 d=9.3284e-36 t=23840
zhong da 	重大	c=1 d=2.79279e-24 t=23840
zhong deng 	中等	c=2 d=0.000372602 t=23840
zhong dian 	重点	c=7 d=0.919109 t=23840
zhong duan 	终端	c=3 d=2.41796e-13 t=23840
zhong er 	中二	c=0 d=0.0843665 t=23840
zhong guo 	中国	c=3 d=0.491644 t=23840
zhong guo gong 	中国公	c=1 d=0.210136 t=23840
zhong ji 	终极	c=1 d=3.81113e-05 t=23840
zhong jian 	中间	c=8 d=1.2177 t=23840
zhong jian 	忠奸	c=0 d=0.0165299 t=23840
zhong jie zhe 	终结者	c=1 d=0.0152985 t=23840
zhong ke da 	中科大	c=1 d=0.995012 t=23840
zhong liang ji 	重量级	c=1 d=2.77358e-31 t=23840
zhong wei 	中卫	c=1 d=3.4371e-25 t=23840
zhong wen 	中文	c=12 d=1.87432e-06 t=23840
zhong wen xi 	中文系	c=1 d=0.289384 t=23840
zhong wu 	中午	c=2 d=0.743549 t=23840
zhong yao 	重要	c=2 d=0.519442 t=23840
zhong yu 	终于	c=1 d=2.80536e-18 t=23840
zhong zhi 	终止	c=1 d=6.24026e-12 t=23840
zhou 	周	c=3 d=0.559472 t=23840
zhou jie lun 	周杰伦	c=1 d=0.97531 t=23840
zhou qi 	周期	c=2 d=8.55994e-14 t=23840
zhou sai 	周赛	c=1 d=1.54014e-22 t=23840
zhu 	主	c=5 d=3.7502 t=23840
zhu 	祝	c=1 d=0.511709 t=23840
zhu da 	主打	c=1 d=0.0102037 t=23840
zhu dao 	主导	c=1 d=0.113608 t=23840
zhu di 	朱棣	c=1 d=0.201897 t=23840
zhu fu 	祝福	c=3 d=0.00157218 t=23840
zhu ge 	逐个	c=1 d=4.1699e-34 t=23840
zhu hou 	诸侯	c=0 d=0.0106992 t=23840
zhu hou ju 	诸侯惧	c=1 d=0.107528 t=23840
zhu ji 	主机	c=1 d=0.97531 t=23840
zhu jian 	逐渐	c=2 d=1.65417e-31 t=23840
zhu jie mian 	主界面	c=1 d=0.236928 t=23840
zhu jue 	主角	c=1 d=4.98804e-24 t=23840
zhu liu 	主流	c=2 d=0.873716 t=23840
zhu ming 	著名	c=1 d=0.65377 t=23840
zhu que 	朱雀	c=1 d=0.198891 t=23840
zhu ru 	诸如	c=1 d=1.30725e-05 t=23840
zhu shi 	注释	c=2 d=1.21172e-24 t=23840
zhu ti 	主题	c=3 d=1.73833e-05 t=23840
zhu ti qu 	主题曲	c=1 d=5.34971e-24 t=23840
zhu xiang 	逐项	c=1 d=0.621885 t=23840
zhu yan 	主演	c=0 d=1.39192e-09 t=23840
zhu yan fa 	主演发	c=1 d=1.39889e-08 t=23840
zhu yao 	主要	c=1 d=0.528848 t=23840
zhu yao ba 	主要吧	c=1 d=0.0337087 t=23840
zhu yao hao si 	主要好似	c=2 d=0.406671 t=23840
zhu yao shi 	主要是	c=23 d=2.48269 t=23840
zhu yi 	注意	c=15 d=0.763387 t=23840
zhu yi li 	注意力	c=1 d=0.869358 t=23840
zhu yuan zhang 	朱元璋	c=1 d=0.203926 t=23840
zhu zai 	住在	c=1 d=0.985112 t=23840
zhu zhan dian 	主站点	c=1 d=0.873716 t=23840
zhu zi 	逐字	c=0 d=1.09678e-29 t=23840
zhu zi jie 	逐字节	c=1 d=1.10228e-28 t=23840
zhua 	抓	c=1 d=0.951229 t=23840
zhua jin 	抓紧	c=1 d=0.182684 t=23840
zhua jin shi jian 	抓紧时间	c=1 d=0.187308 t=23840
zhua yo shi 	抓哟是	c=2 d=3.39469e-26 t=23840
zhuan 	转	c=4 d=5.73175e-12 t=23840
zhuan bian 	转变	c=1 d=0.0335406 t=23840
zhuan chu 	转储	c=2 d=2.33562e-30 t=23840
zhuan da qian 	赚大钱	c=1 d=0.532592 t=23840
zhuan fa 	转发	c=15 d=0.000509511 t=23840
zhuan hu 	专户	c=1 d=1.39069e-27 t=23840
zhuan hua 	转化	c=7 d=1.16087e-19 t=23840
zhuan hua cheng 	转化成	c=2 d=1.91621e-20 t=23840
zhuan hua wei 	转化为	c=2 d=1.3073e-20 t=23840
zhuan huan 	转换	c=12 d=1.00517e-05 t=23840
zhuan huan chen 	转换陈	c=1 d=5.07394e-19 t=23840
zhuan huan cheng 	转换成	c=5 d=2.98523e-19 t=23840
zhuan huan wei 	转换为	c=1 d=4.10293e-20 t=23840
zhuan men 	专门	c=1 d=3.68318e-15 t=23840
zhuan su 	转速	c=2 d=8.50277e-35 t=23840
zhuan xiang 	转向	c=1 d=2.12205e-28 t=23840
zhuan xin 	专心	c=2 d=0.0187295 t=23840
zhuan ye 	专业	c=2 d=0.0120946 t=23840
zhuan ye ke 	专业课	c=1 d=3.89885e-08 t=23840
zhuan ye nei 	专业内	c=1 d=1.28866e-13 t=23840
zhuan yi 	专一	c=1 d=1 t=23572
zhuan yi zi fu 	转义字符	c=1 d=5.75442e-29 t=23840
zhuan zhuan 	转转	c=0 d=0.00119742 t=23840
zhuan zhuan ye 	转转也	c=1 d=0.0120342 t=23840
zhuang 	装	c=10 d=0.99005 t=23840
zhuang bu liao 	装不了	c=1 d=1.54838e-26 t=23840
zhuang kuang 	状况	c=1 d=0.826959 t=23840
zhuang qi 	装起	c=0 d=1.12688e-24 t=23840
zhuang shen me 	装什么	c=1 d=1.32904e-23 t=23840
zhuang tai 	状态	c=3 d=1.82956e-11 t=23840
zhuang tai ji 	状态机	c=2 d=2.5455e-11 t=23840
zhuang wan 	装完	c=2 d=5.96296e-25 t=23840
zhui qiu 	追求	c=2 d=0.809578 t=23840
zhun 	准	c=0 d=0.000891518 t=23840
zhun ao guo 	准熬过	c=1 d=0.00895987 t=23840
zhun bei 	准备	c=5 d=8.14391e-12 t=23840
zhun que 	准确	c=1 d=1.94112e-09 t=23840
zhuo mian 	桌面	c=2 d=0.941765 t=23840
zhuo zi 	桌子	c=1 d=4.77683e-15 t=23840
zi 	子	c=3 d=0.138772 t=23840
zi 	字	c=2 d=0.318224 t=23840
zi 	自	c=1 d=0.97531 t=23840
zi bi 	自闭	c=1 d=1.88113e-22 t=23840
zi dai 	自带	c=10 d=0.932881 t=23840
zi dai ku 	自带库	c=1 d=3.44845e-05 t=23840
zi ding xiang xia 	自顶向下	c=1 d=1.32471e-14 t=23840
zi ding yi 	自定义	c=6 d=1.08379 t=23840
zi dong 	自动	c=11 d=1.15721 t=23840
zi dong ji 	自动机	c=5 d=2.1557e-11 t=23840
zi duan 	字段	c=2 d=1.4187 t=23840
zi fu 	字符	c=9 d=0.187308 t=23840
zi fu chuan 	字符串	c=66 d=2.42945 t=23840
zi ji 	自己	c=36 d=2.32465 t=23840
zi jie 	字节	c=6 d=0.97531 t=23840
zi lai shui 	自来水	c=2 d=8.11909e-27 t=23840
zi liao 	资料	c=2 d=7.75708e-13 t=23840
zi mian 	字面	c=0 d=6.11773e-15 t=23840
zi mian li na ge 	字面力哪个	c=1 d=6.1484e-14 t=23840
zi mo 	自摸	c=2 d=7.95309e-26 t=23840
zi mu 	字幕	c=1 d=5.45778e-24 t=23840
zi mu 	字母	c=4 d=5.43056e-24 t=23840
zi pai 	自拍	c=1 d=8.87194e-34 t=23840
zi ran 	自然	c=2 d=0.353455 t=23840
zi shen 	自身	c=2 d=0.0867261 t=23840
zi shi zhi zhong 	自始至终	c=1 d=2.13493e-11 t=23840
zi ti 	字体	c=17 d=1.9415 t=23840
zi wang 	子网	c=3 d=1.73661 t=23840
zi xi 	仔细	c=0 d=0.0985112 t=23840
zi you 	自由	c=1 d=0.995012 t=23840
zi yuan 	资源	c=12 d=0.00416825 t=23840
zi yuan a 	资源啊	c=1 d=1.47849e-12 t=23840
zong fu ze ren 	总负责人	c=1 d=3.9264e-32 t=23840
zong gan jue 	总感觉	c=1 d=0.177284 t=23840
zong gong 	总共	c=1 d=2.04099e-11 t=23840
zong he 	综合	c=1 d=1.10078e-12 t=23840
zong he gao zhong 	综合高中	c=1 d=1.09113e-26 t=23840
zong ji 	总计	c=1 d=6.11357e-06 t=23840
zong jie 	总结	c=4 d=0.571238 t=23840
zong ju 	总局	c=1 d=0.946485 t=23840
zong lan 	总览	c=1 d=1 t=23840
zong shi 	总是	c=4 d=0.254942 t=23840
zong shu 	综述	c=1 d=4.83815e-18 t=23840
zong ti 	总体	c=1 d=0.951229 t=23840
zong zhi 	总之	c=1 d=9.32364e-30 t=23840
